Vowel	F1_pt2	F1_mid	F1_pt7	F1_pt8	F2_pt2	F2_mid	F2_pt7	F2_pt8	F3_pt2	F3_mid	F3_pt7	F3_pt8	Filename
ˈ ĩːː	478	277	1398	--undefined--	1937	1586	2466	--undefined--	2450	2603	3256	--undefined--	N_husband_pl_01.wav
ˈ ĩːː	295	305	301	296	1821	1518	1595	1884	2565	2764	2814	2217	N_husbands_S_05.wav
ˈ ĩːː	296	267	249	227	1366	1692	2061	1672	2530	2777	2470	2585	N_husbands_S_06.wav
ũ	971	393	214	457	1771	2429	2164	901	2498	2870	2224	2474	N_mixtepec_01.wav
i	1492	322	92	427	2510	2066	858	1708	2724	2347	2339	2580	N_mixtepec_01.wav
 ˈu	2060	436	--undefined--	--undefined--	2530	895	--undefined--	--undefined--	3290	2369	--undefined--	--undefined--	N_mixtepec_01.wav
ũ 	1755	364	299	292	2456	1088	1981	2096	2889	2502	2491	3149	N_mixtepec_02.wav
i	2006	298	430	692	2649	2118	903	2015	3229	2410	2580	3247	N_mixtepec_02.wav
o	374	392	--undefined--	--undefined--	1418	882	--undefined--	--undefined--	2310	2385	--undefined--	--undefined--	N_mixtepec_02.wav
ˈãː 	682	1142	625	398	1880	1461	1143	1460	2950	2650	2144	2397	N_mother_01.wav
ˈãː 	282	407	1243	778	1241	1142	2072	1583	2251	2033	3112	2759	N_mother_02.wav
ɛ ^ɛ^̰  	286	466	473	517	1585	1746	1847	1843	2634	2806	2643	2829	N_peach_02.wav
^ɛ^̰ ɛ	914	513	--undefined--	--undefined--	2186	1822	--undefined--	--undefined--	2936	2736	--undefined--	--undefined--	N_peach_02.wav
ĩːː	523	300	421	523	1985	1228	1182	2285	2472	2705	2652	2929	N_salt_01.wav
ˈ ĩːː 	352	395	369	200	1061	1474	1425	2374	2477	2757	2499	2857	N_salt_02.wav
ˈ ĩːː 	580	350	443	259	1574	1200	1858	2253	2580	2681	2674	2904	N_salt_03.wav
ˈ ĩːː 	370	346	474	1643	1603	1675	1747	2887	2162	2776	2717	3887	N_salt_05.wav
ˈ ĩːː 	351	346	325	348	1676	1516	1439	1744	2515	2621	2544	3042	N_salt_06.wav
a ᵃ^̰ 	589	567	650	586	2208	925	1030	1082	3393	2271	2167	2191	N_sister_01.wav
ᵃ^̰ ˈa 	539	614	--undefined--	--undefined--	877	1277	--undefined--	--undefined--	2295	2167	--undefined--	--undefined--	N_sister_01.wav
ˈ ĩːː	472	380	434	516	1882	2466	1429	2391	2655	3288	2570	3090	N_skin_03.wav
ˈ ĩːː 	339	417	352	284	1344	1265	1484	1543	2611	2853	2895	2683	N_skin_05.wav
ˈ ĩːː	345	413	339	363	1574	1762	1558	1491	2314	2937	2748	2508	N_skin_06.wav
i	275	336	632	610	2204	2377	2145	1630	2481	2856	2737	2397	N_sun_02.wav
a	283	568	856	324	2117	1542	2079	2067	2659	2303	2889	2634	N_sun_02.wav
iː	593	347	--undefined--	--undefined--	1627	2206	--undefined--	--undefined--	2404	2849	--undefined--	--undefined--	N_sun_02.wav
ˈaːː 	237	708	813	478	2284	1351	1496	1597	3088	2164	2291	2297	N_tongue_01.wav
ˈ aːː 	321	711	748	714	2012	1425	1463	1379	2742	2350	2287	2277	N_tongue_02.wav
i	973	294	259	308	2178	1941	2080	1569	2276	2212	2196	2204	POSS_animal_1st_sg_02.wav
ˈi	333	275	--undefined--	--undefined--	1955	2210	--undefined--	--undefined--	2232	3283	--undefined--	--undefined--	POSS_animal_1st_sg_02.wav
ṵ̃ː	1407	375	339	687	2247	2147	1957	2280	2841	2829	2601	3182	POSS_chicken_1st_pl_02.wav
ˈoː	519	557	--undefined--	--undefined--	1773	895	--undefined--	--undefined--	2600	2805	--undefined--	--undefined--	POSS_chicken_1st_pl_02.wav
i ⁱ^̰ 	640	298	344	282	684	2232	2007	2217	3061	2988	2888	2520	POSS_fruit_1st_pl_01.wav
ⁱ^̰i	341	300	483	495	1490	2182	1356	877	2348	2474	2537	3030	POSS_fruit_1st_pl_01.wav
ˈo	354	601	--undefined--	--undefined--	2322	932	--undefined--	--undefined--	2807	3078	--undefined--	--undefined--	POSS_fruit_1st_pl_01.wav
i ⁱ^̰ 	796	328	317	254	799	2013	1546	1454	2381	2344	2324	2454	POSS_fruit_1st_sg_01.wav
ⁱ^̰ ˈiː	322	341	--undefined--	--undefined--	1956	2267	--undefined--	--undefined--	2343	3075	--undefined--	--undefined--	POSS_fruit_1st_sg_01.wav
i ⁱ^̰ 	759	278	263	260	1471	2200	2248	1603	2268	2411	2377	2559	POSS_fruit_1st_sg_02.wav
ⁱ^̰ ˈiː	333	303	--undefined--	--undefined--	522	2250	--undefined--	--undefined--	2346	2883	--undefined--	--undefined--	POSS_fruit_1st_sg_02.wav
a	360	606	317	353	1796	1404	1374	962	2693	2487	2671	2616	POSS_rabbit_1st_pl_01.wav
u	204	373	372	342	2068	866	1026	912	2809	2708	2477	2654	POSS_rabbit_1st_pl_01.wav
u	339	355	508	457	1301	872	828	1176	2578	2596	2850	2588	POSS_rabbit_1st_pl_01.wav
o	359	545	--undefined--	--undefined--	898	837	--undefined--	--undefined--	2697	2961	--undefined--	--undefined--	POSS_rabbit_1st_pl_01.wav
i	424	284	253	312	1902	2222	1504	1437	2340	2309	2285	2424	POSS_rooster_1st_pl_01.wav
i	280	239	471	504	2217	2084	912	947	2333	2425	2512	2507	POSS_rooster_1st_pl_01.wav
ˈo	288	725	--undefined--	--undefined--	1617	1499	--undefined--	--undefined--	2906	2853	--undefined--	--undefined--	POSS_rooster_1st_pl_01.wav
#	335	1001	--undefined--	--undefined--	1219	2999	--undefined--	--undefined--	2375	4937	--undefined--	--undefined--	POSS_rooster_1st_pl_01.wav
ˈɛː 	242	344	358	558	1470	1916	1961	1803	2286	2818	2733	2611	PRON_1st_sg_01.wav
ɛ̃ː 	241	280	236	298	1565	1826	1028	1044	2450	2658	2330	2328	PRON_2nd_sg_inf_02.wav
ũ	292	303	--undefined--	--undefined--	1805	1347	--undefined--	--undefined--	2687	2308	--undefined--	--undefined--	PRON_2nd_sg_inf_02.wav
