file,channels,samplerate,duration_sec,format
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_the_house_is_on_the_top_of_the_hill_01_02.wav,1,96000,4.82,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_the_little_kid_climbed_-on-_the_rock_01_02_03_spkrTS.wav,1,96000,8.12,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_the_little_kid_put_the_cat_up_in_the_tree_03_spkrTS.wav,1,96000,3.7,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_the_tree_LOC_DIST_03_spkrTS.wav,1,96000,1.76,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_there_is_an_ant_beLOC_on_my_leg_01_02_TS.wav,1,96000,0.37,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_there_is_nothing-container_implied_by_statement-01_02_03_spkrTS.wav,1,96000,4.65,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_they_f_sew_clothes_very_well_02_spkrTS.wav,1,96000,2.78,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/V_cut_02_JS.wav,1,96000,1.0,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/V_eat_01_spkrJS.wav,1,96000,0.76,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/V_eat_02_spkrJS.wav,1,96000,0.74,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/V_eat_dinner_03_JS.wav,1,96000,0.83,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/V_go_01_spkrJS.wav,1,44100,0.68,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/V_go_02_spkrJS.wav,1,44100,0.69,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/V_see_1s_01_02_TS.wav,1,96000,1.44,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/V_speak_1st_sg_02_spkrTS.wav,1,96000,0.76,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/WH_how_01_spkrJS.wav,1,96000,0.76,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/WH_how_02_spkrJS.wav,1,96000,0.76,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/WH_what_04_spkrJS.wav,1,96000,0.71,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/WH_when_01_02_spkrJS.wav,1,96000,2.69,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/WH_where_01_spkrFS.wav,1,44100,0.47,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/WH_where_01_spkrJS.wav,1,96000,0.94,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/WH_where_02_spkrJS.wav,1,96000,0.77,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/WH_where_03_spkrJS.wav,1,96000,0.86,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/WH_where_04_spkrJS.wav,1,96000,0.87,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/be_at_home_FUT_1s_3sinf_01_02_03_TS.wav,1,96000,27.42,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/body_part_relations_face_head_1s_01_02_TS.wav,1,96000,5.03,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/mother-01_JS.wav,1,96000,0.82,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/mother-1s-02_TS.wav,1,96000,0.55,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/myongs_recording_20110224-JS.wav,2,44100,193.33,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/tall_1s_01_JS.wav,1,22050,0.67,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/longerFiles/CONV_JS-mother.wav,1,96000,104.17,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/longerFiles/CONV_spkrJS_Aunt_053112.wav,1,96000,600.0,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/longerFiles/Fausto_Sanchez_mix.wav,1,44100,143.15,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/longerFiles/L154-spkrTS.wav,1,96000,104.17,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/longerFiles/MONO_description_of_baby_goat_video_TS.wav,1,96000,22.41,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/need-enhancement/mix_tisus_trip_20130113/FILE004.wav,1,8000,48.83,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/need-enhancement/mix_tisus_trip_20130113/FILE005.wav,1,8000,449.94,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/need-enhancement/mix_tisus_trip_20130113/FILE006.wav,1,8000,420.57,WAV
